@relation QueryResult

@attribute r1 numeric
@attribute r2 numeric
@attribute rating {nem,igen}

@data
0.987593,0.987593,igen
0.861132,0.633712,nem
0.765171,0.73349,nem
0.673596,0.724106,nem
0.557914,0.557914,igen
0.206116,0.206116,igen
0.469149,0.209008,nem
0.744104,0.744104,igen
0.716286,0.395961,nem
0.378719,0.378719,igen
0.04634,0.04634,igen
0.670985,0.048561,nem
0.873165,0.873165,igen
0.363378,0.13802,nem
0.38386,0.325056,nem
0.21757,0.629428,nem
0.460023,0.460023,igen
0.805501,0.062118,nem
0.714304,0.714304,igen
0.714806,0.714806,igen
0.554095,0.554095,igen
0.701898,0.575939,nem
0.187807,0.187807,igen
0.467069,0.467069,igen
0.309429,0.861403,nem
0.191175,0.191175,igen
0.867342,0.067519,nem
0.660323,0.07635,nem
0.811623,0.376609,nem
0.472311,0.472311,igen
0.190342,0.422949,nem
0.143296,0.143296,igen
0.238903,0.296114,nem
0.506673,0.506673,igen
0.376924,0.679974,nem
0.831729,0.594493,nem
0.309402,0.291753,nem
0.399994,0.399994,igen
0.37152,0.006057,nem
0.1148,0.925615,nem
0.707955,0.690739,nem
0.113422,0.175023,nem
0.000168,0.974825,nem
0.366198,0.86751,nem
0.042344,0.042344,igen
0.026521,0.94386,nem
0.853967,0.853967,igen
0.40313,0.416171,nem
0.04431,0.826079,nem
0.559467,0.559467,igen
0.283213,0.283213,igen
0.122193,0.122193,igen
0.06614,0.660136,nem
0.802167,0.897869,nem
0.254629,0.111569,nem
0.189622,0.654623,nem
0.483089,0.483089,igen
0.195679,0.195679,igen
0.769423,0.769423,igen
0.408704,0.408704,igen
0.903633,0.460163,nem
0.522125,0.078657,nem
0.460331,0.49695,nem
0.444854,0.327841,nem
0.539294,0.539294,igen
0.471375,0.271701,nem
0.393261,0.874505,nem
0.687873,0.437571,nem
0.700585,0.24734,nem
0.720784,0.822778,nem
0.31348,0.31348,igen
0.38092,0.38092,igen
0.624945,0.211349,nem
0.635549,0.736514,nem
0.400971,0.400971,igen
0.290173,0.219603,nem
0.59665,0.059596,nem
0.628306,0.500283,nem
0.519759,0.150432,nem
0.57894,0.980089,nem
0.647382,0.647382,igen
0.023794,0.30793,nem
0.186676,0.186676,igen
0.495169,0.579632,nem
0.579937,0.369675,nem
0.267504,0.267504,igen
0.017508,0.070259,nem
0.514844,0.514844,igen
0.738292,0.893037,nem
0.828324,0.828324,igen
0.119212,0.119212,igen
0.517982,0.517982,igen
0.039673,0.754761,nem
0.254496,0.254496,igen
0.440644,0.044934,nem
0.474099,0.037294,nem
0.10453,0.102405,nem
0.537577,0.537577,igen
0.624289,0.252837,nem
0.116517,0.604378,nem
0.900219,0.900219,igen
0.140311,0.912309,nem
0.086895,0.635481,nem
0.49194,0.49194,igen
0.666832,0.005155,nem
0.759444,0.759444,igen
0.684341,0.075415,nem
0.274288,0.422633,nem
0.968452,0.968452,igen
0.102612,0.541844,nem
0.486434,0.486434,igen
0.142285,0.142285,igen
0.296606,0.74093,nem
0.582929,0.582929,igen
0.34154,0.215028,nem
0.620223,0.446069,nem
0.317434,0.317434,igen
0.1578,0.1578,igen
0.070358,0.570271,nem
0.274317,0.674736,nem
0.47049,0.414628,nem
0.587045,0.587045,igen
0.557385,0.050109,nem
0.078985,0.078985,igen
0.224217,0.224217,igen
0.055264,0.055264,igen
0.83843,0.908558,nem
0.130679,0.112718,nem
0.33119,0.33119,igen
0.099131,0.099131,igen
0.21533,0.873035,nem
0.585564,0.357614,nem
0.16964,0.326494,nem
0.940543,0.51118,nem
0.541522,0.541522,igen
0.560766,0.560766,igen
0.957249,0.957249,igen
0.858956,0.718565,nem
0.027608,0.429227,nem
0.992882,0.702344,nem
0.899716,0.40751,nem
0.289389,0.289389,igen
0.457101,0.457619,nem
0.368374,0.368374,igen
0.681318,0.512883,nem
0.206804,0.589875,nem
0.643561,0.643561,igen
0.319522,0.319522,igen
0.921065,0.921065,igen
0.742692,0.742692,igen
0.534851,0.7941,nem
0.328256,0.892466,nem
0.96374,0.96374,igen
0.65475,0.65475,igen
0.833009,0.833009,igen
0.47492,0.196273,nem
0.393774,0.432169,nem
0.055228,0.11234,nem
0.459777,0.484455,nem
0.105222,0.105222,igen
0.162121,0.384171,nem
0.512732,0.512732,igen
0.45151,0.45151,igen
0.841272,0.841272,igen
0.970351,0.970351,igen
0.819884,0.52259,nem
0.483233,0.483233,igen
0.026688,0.112465,nem
0.126795,0.126795,igen
0.34621,0.03353,nem
0.869487,0.881061,nem
0.82763,0.82763,igen
0.197743,0.773527,nem
0.791371,0.852493,nem
0.606535,0.266291,nem
0.048766,0.048766,igen
0.00031,0.00031,igen
0.69846,0.103994,nem
0.11265,0.11265,igen
0.158237,0.588449,nem
0.217872,0.217872,igen
0.320359,0.972621,nem
0.730604,0.730604,igen
0.771869,0.771869,igen
0.813893,0.813893,igen
0.700954,0.591753,nem
0.336482,0.336482,igen
0.184187,0.618441,nem
0.448947,0.310982,nem
0.96465,0.482477,nem
0.180469,0.180469,igen
0.845711,0.310108,nem
0.378212,0.378212,igen
0.619238,0.619238,igen
0.101478,0.230705,nem
0.225773,0.225773,igen
0.367769,0.367769,igen
0.279471,0.226083,nem
0.06623,0.383465,nem
0.338733,0.338733,igen
0.224467,0.971914,nem
0.556604,0.544826,nem
0.944535,0.944535,igen
0.287208,0.316695,nem
0.758428,0.758428,igen
0.988162,0.908448,nem
0.09491,0.09491,igen
0.172349,0.526889,nem
0.543857,0.483331,nem
0.491539,0.491539,igen
0.026334,0.026334,igen
0.6638,0.6638,igen
0.33725,0.336442,nem
0.042012,0.042012,igen
0.956488,0.43792,nem
0.272717,0.272717,igen
0.182261,0.80569,nem
0.552188,0.408344,nem
0.87192,0.87192,igen
0.935653,0.935653,igen
0.747077,0.096387,nem
0.907568,0.907568,igen
0.303681,0.641213,nem
0.852103,0.590889,nem
0.957907,0.957907,igen
0.61053,0.579051,nem
0.866355,0.866355,igen
0.70544,0.70544,igen
0.7514,0.7514,igen
0.393244,0.249297,nem
0.234732,0.884783,nem
0.275631,0.898532,nem
0.222033,0.612072,nem
0.940544,0.178521,nem
0.049993,0.049993,igen
0.213261,0.360782,nem
0.855683,0.765449,nem
0.769127,0.727602,nem
0.701102,0.516203,nem
0.823989,0.60867,nem
0.819885,0.465202,nem
0.460773,0.460773,igen
0.410774,0.423109,nem
0.071303,0.989824,nem
0.289464,0.289464,igen
0.776742,0.741225,nem
0.682708,0.026039,nem
0.975956,0.567491,nem
0.301669,0.301669,igen
0.874488,0.789524,nem
0.913742,0.815032,nem
0.968045,0.963735,nem
0.028294,0.028294,igen
0.328827,0.819417,nem
0.793743,0.097954,nem
0.547019,0.494846,nem
0.614157,0.614157,igen
0.371008,0.103516,nem
0.434042,0.434042,igen
0.83621,0.564288,nem
0.844815,0.259319,nem
0.635591,0.83464,nem
0.548783,0.412333,nem
0.575864,0.231491,nem
0.438372,0.438372,igen
0.551821,0.551821,igen
0.798982,0.798982,igen
0.740041,0.740041,igen
0.426309,0.588506,nem
0.653783,0.241342,nem
0.55655,0.55655,igen
0.617518,0.617518,igen
0.269635,0.885378,nem
0.436935,0.436935,igen
0.063378,0.983331,nem
0.983955,0.558224,nem
0.597488,0.597488,igen
0.354963,0.354963,igen
0.661739,0.661739,igen
0.03153,0.03153,igen
0.191173,0.226028,nem
0.876345,0.450492,nem
0.861618,0.710985,nem
0.999275,0.999275,igen
0.273951,0.286849,nem
0.230766,0.230766,igen
0.712323,0.83867,nem
0.029748,0.029748,igen
0.452365,0.452365,igen
0.264979,0.618254,nem
0.106148,0.506321,nem
0.174804,0.723666,nem
0.775956,0.060182,nem
0.160601,0.839334,nem
0.043513,0.144556,nem
0.397558,0.397558,igen
0.641001,0.641001,igen
0.499519,0.059298,nem
0.672531,0.690692,nem
0.285325,0.548877,nem
0.141184,0.141184,igen
0.146943,0.259861,nem
0.140459,0.420895,nem
0.546711,0.371225,nem
0.133218,0.133218,igen
0.38538,0.400973,nem
0.585582,0.650359,nem
0.019227,0.019227,igen
0.69173,0.15668,nem
0.194032,0.194032,igen
0.415396,0.415396,igen
0.932636,0.932636,igen
0.254213,0.254213,igen
0.575998,0.575998,igen
0.77197,0.297726,nem
0.720554,0.169528,nem
0.938728,0.220073,nem
0.228826,0.611259,nem
0.910765,0.514151,nem
0.160136,0.051949,nem
0.661094,0.419997,nem
0.192408,0.192408,igen
0.081989,0.081989,igen
0.966708,0.563633,nem
0.215207,0.215207,igen
0.352088,0.352088,igen
0.964606,0.800789,nem
0.002447,0.983834,nem
0.492519,0.159127,nem
0.177865,0.907916,nem
0.091763,0.091763,igen
0.432079,0.483913,nem
0.863733,0.863733,igen
0.729805,0.729805,igen
0.204467,0.033261,nem
0.668533,0.42454,nem
0.262087,0.262087,igen
0.279792,0.279792,igen
0.335305,0.335305,igen
0.776238,0.439928,nem
0.387254,0.437332,nem
0.859925,0.859925,igen
0.579662,0.519321,nem
0.826632,0.143295,nem
0.734528,0.17872,nem
0.107901,0.535317,nem
0.181168,0.181168,igen
0.091734,0.091734,igen
0.027836,0.027836,igen
0.340295,0.2696,nem
0.935752,0.935752,igen
0.432058,0.701678,nem
0.419665,0.419665,igen
0.295791,0.295791,igen
0.431483,0.624133,nem
0.329053,0.100016,nem
0.048673,0.048673,igen
0.591139,0.591139,igen
0.379808,0.379808,igen
0.383979,0.367377,nem
0.819736,0.819736,igen
0.771233,0.771233,igen
0.804709,0.679661,nem
0.350895,0.32403,nem
0.506293,0.494189,nem
0.058558,0.685013,nem
0.60209,0.60209,igen
0.593875,0.866181,nem
0.693824,0.621711,nem
0.206477,0.206477,igen
0.963424,0.963424,igen
0.557463,0.638535,nem
0.665102,0.977128,nem
0.934326,0.096586,nem
0.601261,0.601261,igen
0.263379,0.263379,igen
0.196602,0.649934,nem
0.854518,0.57641,nem
0.033913,0.033913,igen
0.221896,0.396146,nem
0.805146,0.026605,nem
0.075807,0.075807,igen
0.15604,0.15604,igen
0.350635,0.350635,igen
0.5821,0.65023,nem
0.409193,0.409193,igen
0.267113,0.267113,igen
0.252319,0.252319,igen
0.003068,0.133295,nem
0.946144,0.946144,igen
0.624779,0.624779,igen
0.339771,0.909568,nem
0.182242,0.978306,nem
0.57467,0.57467,igen
0.15937,0.15937,igen
0.912632,0.671256,nem
0.760632,0.176011,nem
0.867858,0.410566,nem
0.03053,0.03053,igen
0.444268,0.444268,igen
0.444479,0.252425,nem
0.840414,0.249625,nem
0.27903,0.27903,igen
0.916221,0.405666,nem
0.629665,0.498321,nem
0.055895,0.038858,nem
0.765434,0.765434,igen
0.308215,0.308215,igen
0.041926,0.041926,igen
0.898729,0.898729,igen
0.254358,0.666705,nem
0.2385,0.2385,igen
0.163926,0.163926,igen
0.848947,0.848947,igen
0.216806,0.738596,nem
0.008318,0.008318,igen
0.129438,0.409852,nem
0.768949,0.30545,nem
0.27771,0.179515,nem
0.335979,0.335979,igen
0.721979,0.623994,nem
0.588404,0.588404,igen
0.562393,0.87362,nem
0.867434,0.478614,nem
0.279285,0.497099,nem
0.976935,0.976935,igen
0.33518,0.33518,igen
0.535958,0.535958,igen
0.742369,0.742369,igen
0.643395,0.643395,igen
0.577884,0.641098,nem
0.897753,0.897753,igen
0.244589,0.879598,nem
0.06168,0.06168,igen
0.093537,0.096404,nem
0.800276,0.800276,igen
0.101854,0.101854,igen
0.225842,0.225842,igen
0.210128,0.210128,igen
0.870803,0.870803,igen
0.531292,0.487839,nem
0.050319,0.867271,nem
0.209817,0.674313,nem
0.455675,0.77221,nem
0.547933,0.547933,igen
0.32311,0.32311,igen
0.250825,0.827218,nem
0.820209,0.820209,igen
0.22776,0.162398,nem
0.356167,0.970129,nem
0.805793,0.934051,nem
0.611227,0.703547,nem
0.17864,0.17864,igen
0.490825,0.765226,nem
0.272176,0.272176,igen
0.587229,0.587229,igen
0.565502,0.565502,igen
0.37403,0.813071,nem
0.77563,0.77563,igen
0.244834,0.344362,nem
0.263469,0.295153,nem
0.211633,0.211633,igen
0.473287,0.969466,nem
0.667309,0.667309,igen
0.245497,0.517399,nem
0.990418,0.496322,nem
0.344617,0.344617,igen
0.810627,0.810627,igen
0.724082,0.507015,nem
0.166794,0.694211,nem
0.312809,0.312809,igen
0.100845,0.305438,nem
0.016355,0.016355,igen
0.279484,0.796263,nem
0.781582,0.551661,nem
0.383492,0.383492,igen
0.347084,0.925691,nem
0.196563,0.122714,nem
0.170525,0.540925,nem
0.386183,0.465678,nem
0.752559,0.752559,igen
0.85947,0.435144,nem
0.419867,0.419867,igen
0.104967,0.952543,nem
0.410286,0.601289,nem
0.29716,0.220913,nem
0.325371,0.804175,nem
0.387707,0.019582,nem
0.116984,0.488552,nem
0.32502,0.32502,igen
0.13334,0.13334,igen
0.768036,0.768036,igen
0.121283,0.121283,igen
0.914921,0.914921,igen
0.319697,0.319697,igen
0.504775,0.504775,igen
0.262005,0.262005,igen
0.245388,0.701338,nem
0.384719,0.415913,nem
0.242263,0.770902,nem
0.881591,0.994822,nem
0.630372,0.316735,nem
0.414689,0.73534,nem
0.269278,0.824975,nem
0.336629,0.336629,igen
0.566438,0.566438,igen
0.045888,0.045888,igen
0.662,0.370614,nem
0.433595,0.433595,igen
0.681582,0.681582,igen
0.487598,0.487598,igen
0.922147,0.922147,igen
0.006602,0.006602,igen
0.620937,0.620937,igen
0.690183,0.690183,igen
0.127886,0.127886,igen
0.535858,0.535858,igen
0.009881,0.632661,nem
0.797863,0.255269,nem
0.333999,0.182582,nem
0.671182,0.576262,nem
0.953484,0.552774,nem
0.571084,0.583856,nem
0.869509,0.985773,nem
0.319196,0.138787,nem
0.810748,0.810748,igen
0.655825,0.655825,igen
0.705226,0.856636,nem
0.317825,0.317825,igen
0.075839,0.290231,nem
0.999407,0.999407,igen
0.563437,0.563437,igen
0.212378,0.212378,igen
0.006009,0.184374,nem
0.902561,0.133894,nem
0.720232,0.912442,nem
0.766555,0.518095,nem
0.167711,0.100554,nem
0.700677,0.700677,igen
0.838893,0.838893,igen
0.676816,0.654162,nem
0.391667,0.2479,nem
0.238018,0.238018,igen
0.261176,0.233673,nem
0.557214,0.399963,nem
0.044421,0.044421,igen
0.213039,0.213039,igen
0.105189,0.105189,igen
0.901057,0.530864,nem
0.181028,0.191288,nem
0.53027,0.744465,nem
0.403666,0.403666,igen
0.536279,0.536279,igen
0.928839,0.928839,igen
0.306227,0.670173,nem
0.649071,0.649071,igen
0.218669,0.436728,nem
0.167167,0.167167,igen
0.38638,0.38638,igen
0.537282,0.537282,igen
0.867844,0.867844,igen
0.225273,0.214099,nem
0.522006,0.522006,igen
0.616939,0.461999,nem
0.760023,0.760023,igen
0.878115,0.695672,nem
0.317238,0.278078,nem
0.740092,0.530276,nem
0.383267,0.383267,igen
0.641149,0.641149,igen
0.06114,0.06114,igen
0.564295,0.832437,nem
0.59141,0.30876,nem
0.236102,0.236102,igen
0.127689,0.237599,nem
0.542329,0.797863,nem
0.88667,0.760998,nem
0.234591,0.234591,igen
0.053836,0.053836,igen
0.147378,0.771874,nem
0.92168,0.37265,nem
0.985972,0.985972,igen
0.443686,0.443686,igen
0.98959,0.98959,igen
0.447971,0.447971,igen
0.203709,0.867705,nem
0.143642,0.520947,nem
0.145783,0.883735,nem
0.051223,0.051223,igen
0.529051,0.529051,igen
0.524884,0.112363,nem
0.093346,0.35732,nem
0.703774,0.703774,igen
0.402106,0.402106,igen
0.593423,0.831463,nem
0.639704,0.135752,nem
0.629326,0.629326,igen
0.526374,0.526374,igen
0.89675,0.863917,nem
0.58021,0.58021,igen
0.044128,0.635791,nem
0.50189,0.416779,nem
0.621763,0.621763,igen
0.945576,0.406369,nem
0.069733,0.069733,igen
0.149285,0.274074,nem
0.213375,0.670232,nem
0.419857,0.419857,igen
0.09711,0.721455,nem
0.948908,0.621994,nem
0.833819,0.042254,nem
0.979314,0.979314,igen
0.537592,0.444359,nem
0.572737,0.572737,igen
0.369056,0.084064,nem
0.708489,0.998382,nem
0.610437,0.60524,nem
0.862299,0.190647,nem
0.649368,0.498089,nem
0.692538,0.066147,nem
0.119852,0.638114,nem
0.472515,0.472515,igen
0.189585,0.189585,igen
0.787399,0.787399,igen
0.746589,0.40296,nem
0.457631,0.457631,igen
0.166446,0.50007,nem
0.179087,0.115354,nem
0.122064,0.122064,igen
0.012905,0.012905,igen
0.157608,0.101379,nem
0.550498,0.601967,nem
0.674116,0.919554,nem
0.686031,0.686031,igen
0.382605,0.382605,igen
0.917935,0.296468,nem
0.987844,0.780234,nem
0.487116,0.637212,nem
0.278323,0.179653,nem
0.703359,0.703359,igen
0.398175,0.398175,igen
0.817767,0.175874,nem
0.58776,0.605166,nem
0.922463,0.922463,igen
0.99072,0.99072,igen
0.062797,0.088909,nem
0.490791,0.490791,igen
0.241884,0.204263,nem
0.612855,0.25479,nem
0.361871,0.714234,nem
0.805288,0.963838,nem
0.388349,0.388349,igen
0.724841,0.724841,igen
0.649869,0.649869,igen
0.770954,0.642776,nem
0.946337,0.758799,nem
0.42301,0.433453,nem
0.396011,0.396011,igen
0.701333,0.613106,nem
0.09937,0.09937,igen
0.099508,0.430873,nem
0.275244,0.687268,nem
0.036039,0.197708,nem
0.677988,0.677988,igen
0.098837,0.286617,nem
0.168779,0.168779,igen
0.340721,0.490881,nem
0.781634,0.59551,nem
0.852752,0.495867,nem
0.400798,0.400798,igen
0.81659,0.884217,nem
0.125639,0.466459,nem
0.655171,0.768415,nem
0.412797,0.412797,igen
0.413969,0.413969,igen
0.191426,0.846249,nem
0.80998,0.892759,nem
0.459356,0.459356,igen
0.90935,0.992266,nem
0.890229,0.184595,nem
0.679534,0.926268,nem
0.382302,0.382302,igen
0.357522,0.357522,igen
0.025104,0.668919,nem
0.526301,0.365825,nem
0.1598,0.307934,nem
0.961336,0.012552,nem
0.803802,0.803802,igen
0.362134,0.362134,igen
0.829142,0.688019,nem
0.487773,0.295601,nem
0.343189,0.343189,igen
0.256188,0.256188,igen
0.708398,0.708398,igen
0.757159,0.447614,nem
0.554647,0.567139,nem
0.340372,0.340372,igen
0.014003,0.476489,nem
0.332639,0.332639,igen
0.904232,0.904232,igen
0.661084,0.661084,igen
0.012172,0.012172,igen
0.830499,0.043386,nem
0.369694,0.369694,igen
0.855604,0.712306,nem
0.895995,0.895995,igen
0.221429,0.221429,igen
0.872106,0.872106,igen
0.203929,0.182765,nem
0.884658,0.007731,nem
0.544898,0.544898,igen
0.713799,0.69575,nem
0.032671,0.009401,nem
0.038939,0.038939,igen
0.288859,0.288859,igen
0.717798,0.796098,nem
0.736473,0.272446,nem
0.363237,0.363237,igen
0.076845,0.286449,nem
0.839726,0.409484,nem
0.19068,0.50081,nem
0.421656,0.421656,igen
0.021179,0.021179,igen
0.544197,0.79135,nem
0.876783,0.876783,igen
0.256502,0.256502,igen
0.687345,0.687345,igen
0.098212,0.128608,nem
0.891275,0.280977,nem
0.013266,0.013266,igen
0.899006,0.899006,igen
0.825875,0.727065,nem
0.594756,0.858546,nem
0.736466,0.633695,nem
0.147405,0.454264,nem
0.429793,0.429793,igen
0.883877,0.883877,igen
0.72671,0.79303,nem
0.960722,0.960722,igen
0.013159,0.013159,igen
0.632756,0.632756,igen
0.370206,0.203839,nem
0.133566,0.133566,igen
0.791862,0.225018,nem
0.677763,0.583212,nem
0.101801,0.101801,igen
0.934265,0.934265,igen
0.270557,0.270557,igen
0.200014,0.062874,nem
0.161832,0.161832,igen
0.48099,0.48099,igen
0.076139,0.060838,nem
0.306865,0.803205,nem
0.655593,0.655593,igen
0.165411,0.53967,nem
0.289288,0.312815,nem
0.993935,0.719081,nem
0.196693,0.196693,igen
0.720645,0.720645,igen
0.512111,0.157415,nem
0.733803,0.733803,igen
0.144867,0.144867,igen
0.527621,0.937642,nem
0.278434,0.319483,nem
0.16266,0.956197,nem
0.902695,0.902695,igen
0.264462,0.264462,igen
0.890462,0.890462,igen
0.173252,0.173252,igen
0.464475,0.953336,nem
0.335084,0.335084,igen
0.945466,0.029476,nem
0.395922,0.252331,nem
0.83268,0.051515,nem
0.417741,0.372351,nem
0.340804,0.340804,igen
0.730557,0.730557,igen
0.366285,0.366285,igen
0.059885,0.927249,nem
0.08693,0.08693,igen
0.571996,0.084664,nem
0.820733,0.820733,igen
0.716863,0.716863,igen
0.612285,0.612285,igen
0.758375,0.995297,nem
0.931768,0.931768,igen
0.921035,0.951494,nem
0.834463,0.834463,igen
0.185496,0.841956,nem
0.007715,0.007715,igen
0.649971,0.649971,igen
0.795292,0.3428,nem
0.595437,0.824768,nem
0.738722,0.738722,igen
0.847768,0.657448,nem
0.790237,0.790237,igen
0.265509,0.265509,igen
0.029799,0.131041,nem
0.996066,0.996066,igen
0.396084,0.190926,nem
0.923315,0.923315,igen
0.483013,0.483013,igen
0.762922,0.007979,nem
0.303746,0.303746,igen
0.479785,0.479785,igen
0.620264,0.620264,igen
0.062121,0.475083,nem
0.552032,0.983156,nem
0.426577,0.426577,igen
0.386495,0.168652,nem
0.268533,0.39421,nem
0.818623,0.818623,igen
0.063826,0.73701,nem
0.41406,0.888594,nem
0.475732,0.475732,igen
0.261828,0.261828,igen
0.546042,0.265969,nem
0.527337,0.57584,nem
0.39701,0.39701,igen
0.523402,0.523402,igen
0.971924,0.587936,nem
0.446717,0.454938,nem
0.350858,0.454696,nem
0.758684,0.830644,nem
0.07496,0.07496,igen
0.820805,0.820805,igen
0.305726,0.305726,igen
0.626992,0.80396,nem
0.732303,0.013487,nem
0.972612,0.972612,igen
0.000836,0.000836,igen
0.407697,0.791235,nem
0.064662,0.064662,igen
0.144708,0.205296,nem
0.953255,0.953255,igen
0.620439,0.620439,igen
0.467123,0.467123,igen
0.499297,0.499297,igen
0.886409,0.886409,igen
0.99446,0.075137,nem
0.283419,0.517863,nem
0.047061,0.871356,nem
0.96458,0.501999,nem
0.222214,0.419276,nem
0.260683,0.260683,igen
0.052858,0.494237,nem
0.081487,0.081487,igen
0.358584,0.358584,igen
0.121229,0.885448,nem
0.090888,0.134716,nem
0.85806,0.091724,nem
0.542414,0.649295,nem
0.156385,0.687121,nem
0.854591,0.854591,igen
0.109641,0.109641,igen
0.307561,0.307561,igen
0.321714,0.321714,igen
0.608937,0.608937,igen
0.193969,0.193969,igen
0.316174,0.316174,igen
0.684075,0.684075,igen
0.477389,0.834037,nem
0.731136,0.348744,nem
0.798617,0.798617,igen
0.233135,0.570958,nem
0.217893,0.493818,nem
0.623816,0.623816,igen
0.71213,0.575305,nem
0.9824,0.9824,igen
0.833358,0.460753,nem
0.073288,0.968075,nem
0.318812,0.165012,nem
0.510488,0.968107,nem
0.321397,0.197609,nem
0.822698,0.431037,nem
0.50517,0.50517,igen
0.144412,0.039975,nem
0.699139,0.460587,nem
0.724049,0.176528,nem
0.294624,0.455185,nem
0.525272,0.525272,igen
0.093241,0.68832,nem
0.09623,0.09623,igen
0.311134,0.182138,nem
0.720046,0.720046,igen
0.023263,0.023263,igen
0.757443,0.702446,nem
0.856622,0.218195,nem
0.775734,0.775734,igen
0.824696,0.537007,nem
0.940746,0.940746,igen
0.335185,0.335185,igen
0.505115,0.505115,igen
0.262143,0.532794,nem
0.327813,0.69318,nem
0.037964,0.472225,nem
0.733155,0.733155,igen
0.737103,0.932812,nem
0.457205,0.913631,nem
0.227436,0.227436,igen
0.91239,0.438903,nem
0.320677,0.320677,igen
0.60071,0.535133,nem
0.63181,0.63181,igen
0.782847,0.255179,nem
0.655074,0.54029,nem
0.957625,0.957625,igen
0.511695,0.758485,nem
0.733359,0.733359,igen
0.336392,0.295492,nem
0.674105,0.674105,igen
0.671576,0.671576,igen
0.800607,0.800607,igen
0.936248,0.936248,igen
0.20437,0.20437,igen
0.12842,0.12842,igen
0.629428,0.629428,igen
0.242334,0.242334,igen
0.600646,0.600646,igen
0.362584,0.979437,nem
0.533458,0.533458,igen
0.819788,0.819788,igen
0.893068,0.893068,igen
0.760894,0.732178,nem
0.331971,0.331971,igen
0.081571,0.332888,nem
0.867104,0.867104,igen
0.713381,0.713381,igen
0.115735,0.122282,nem
0.368455,0.656025,nem
0.079907,0.88015,nem
0.41451,0.813267,nem
0.216542,0.216542,igen
0.710002,0.487372,nem
0.888118,0.51061,nem
0.42362,0.42362,igen
0.092488,0.63903,nem
0.053049,0.334822,nem
0.239676,0.415632,nem
0.314259,0.314259,igen
0.773134,0.773134,igen
0.23542,0.23542,igen
0.207327,0.207327,igen
0.534028,0.967598,nem
0.539298,0.539298,igen
0.615599,0.300486,nem
0.406402,0.32898,nem
0.416221,0.416221,igen
0.528684,0.697435,nem
0.072246,0.608592,nem
0.577585,0.486756,nem
0.421858,0.421858,igen
0.794127,0.196759,nem
0.90923,0.682245,nem
0.707369,0.707369,igen
0.33285,0.33285,igen
0.774733,0.774733,igen
0.346399,0.385899,nem
0.109555,0.109555,igen
0.586075,0.586075,igen
0.801531,0.423815,nem
0.359209,0.359209,igen
0.036952,0.631142,nem
0.893238,0.00455,nem
0.170441,0.508837,nem
0.305036,0.305036,igen
0.576842,0.576842,igen
0.837817,0.837817,igen
0.721258,0.721258,igen
0.105527,0.535252,nem
0.793504,0.714118,nem
